target,x_m,y_m,true_contact_time_s,true_contact_idx,contact_phase,sampling_spacing_m,tolerance_m,max_boundary_points,warmup_ignore_s
B185,1.452561,10.220432,5.780000,290,ENTRY,0.100000,0.050000,2000,2.000000
B186,2.054668,18.873977,6.000000,301,ENTRY,0.100000,0.050000,2000,2.000000
B187,1.857154,16.000758,5.980000,300,ENTRY,0.100000,0.050000,2000,2.000000
B188,1.654154,13.047727,5.940000,298,ENTRY,0.100000,0.050000,2000,2.000000
B189,2.074793,18.826816,6.040000,303,ENTRY,0.100000,0.050000,2000,2.000000
B190,1.962064,17.230792,6.040000,303,ENTRY,0.100000,0.050000,2000,2.000000
B191,1.753515,14.278148,6.000000,301,ENTRY,0.100000,0.050000,2000,2.000000
B192,1.454783,10.048684,5.840000,293,ENTRY,0.100000,0.050000,2000,2.000000
B193,2.164279,19.736993,6.100000,306,ENTRY,0.100000,0.050000,2000,2.000000
B194,1.967476,17.024122,6.060000,304,ENTRY,0.100000,0.050000,2000,2.000000
B195,1.851710,15.428316,6.060000,304,ENTRY,0.100000,0.050000,2000,2.000000
B196,1.452316,9.922783,5.880000,295,ENTRY,0.100000,0.050000,2000,2.000000
B197,2.150390,19.210732,6.120000,307,ENTRY,0.100000,0.050000,2000,2.000000
B198,1.954300,16.578025,6.100000,306,ENTRY,0.100000,0.050000,2000,2.000000
B199,1.657195,12.589074,6.040000,303,ENTRY,0.100000,0.050000,2000,2.000000
B200,2.250395,20.200040,6.200000,311,ENTRY,0.100000,0.050000,2000,2.000000
B201,2.061363,17.727255,6.160000,309,ENTRY,0.100000,0.050000,2000,2.000000
B202,1.860135,15.094935,6.120000,307,ENTRY,0.100000,0.050000,2000,2.000000
B203,1.555244,11.106572,6.020000,302,ENTRY,0.100000,0.050000,2000,2.000000
B204,2.260544,19.992561,6.220000,312,ENTRY,0.100000,0.050000,2000,2.000000
B205,2.066627,17.520154,6.200000,311,ENTRY,0.100000,0.050000,2000,2.000000
B206,1.853944,14.808482,6.160000,309,ENTRY,0.100000,0.050000,2000,2.000000
B207,1.453598,9.704158,5.960000,299,ENTRY,0.100000,0.050000,2000,2.000000
B208,2.257115,19.625499,6.260000,314,ENTRY,0.100000,0.050000,2000,2.000000
B209,2.071085,17.312969,6.240000,313,ENTRY,0.100000,0.050000,2000,2.000000
B210,1.859396,14.681470,6.200000,311,ENTRY,0.100000,0.050000,2000,2.000000
B211,1.654122,12.129713,6.140000,308,ENTRY,0.100000,0.050000,2000,2.000000
B212,2.258846,19.338124,6.280000,315,ENTRY,0.100000,0.050000,2000,2.000000
B213,1.969499,15.830037,6.260000,314,ENTRY,0.100000,0.050000,2000,2.000000
B214,1.653847,12.003032,6.180000,310,ENTRY,0.100000,0.050000,2000,2.000000
B215,2.374022,20.405852,6.340000,318,ENTRY,0.100000,0.050000,2000,2.000000
B216,2.252717,18.970971,6.320000,317,ENTRY,0.100000,0.050000,2000,2.000000
B217,2.064020,16.738933,6.300000,316,ENTRY,0.100000,0.050000,2000,2.000000
B218,1.754018,13.072013,6.240000,313,ENTRY,0.100000,0.050000,2000,2.000000
B219,2.376285,20.118117,6.380000,320,ENTRY,0.100000,0.050000,2000,2.000000
B220,2.252012,18.683489,6.360000,319,ENTRY,0.100000,0.050000,2000,2.000000
B221,1.968946,15.415726,6.340000,318,ENTRY,0.100000,0.050000,2000,2.000000
B222,1.754920,12.944979,6.280000,315,ENTRY,0.100000,0.050000,2000,2.000000
B223,2.476394,20.945936,6.480000,325,ENTRY,0.100000,0.050000,2000,2.000000
B224,2.356191,19.591258,6.420000,322,ENTRY,0.100000,0.050000,2000,2.000000
B225,2.165281,17.439712,6.400000,321,ENTRY,0.100000,0.050000,2000,2.000000
B226,1.960229,15.128791,6.360000,319,ENTRY,0.100000,0.050000,2000,2.000000
B227,1.550125,10.506950,6.200000,311,ENTRY,0.100000,0.050000,2000,2.000000
B228,2.456982,20.418855,6.460000,324,ENTRY,0.100000,0.050000,2000,2.000000
B229,2.254283,18.188045,6.440000,323,ENTRY,0.100000,0.050000,2000,2.000000
B230,1.957474,14.921502,6.400000,321,ENTRY,0.100000,0.050000,2000,2.000000
B231,1.450728,9.344477,6.100000,306,ENTRY,0.100000,0.050000,2000,2.000000
B232,2.368689,19.174904,6.480000,325,ENTRY,0.100000,0.050000,2000,2.000000
B233,2.250137,17.900406,6.480000,325,ENTRY,0.100000,0.050000,2000,2.000000
B234,2.050081,15.749690,6.460000,324,ENTRY,0.100000,0.050000,2000,2.000000
B235,1.657378,11.527915,6.340000,318,ENTRY,0.100000,0.050000,2000,2.000000
B236,2.555578,20.877968,6.540000,328,ENTRY,0.100000,0.050000,2000,2.000000
B237,2.358459,18.807329,6.520000,327,ENTRY,0.100000,0.050000,2000,2.000000
B238,2.161339,16.736691,6.500000,326,ENTRY,0.100000,0.050000,2000,2.000000
B239,1.751938,12.436134,6.420000,322,ENTRY,0.100000,0.050000,2000,2.000000
B240,2.571531,20.748822,6.580000,330,ENTRY,0.100000,0.050000,2000,2.000000
B241,2.354384,18.519372,6.560000,329,ENTRY,0.100000,0.050000,2000,2.000000
B242,2.152747,16.449169,6.540000,328,ENTRY,0.100000,0.050000,2000,2.000000
B243,1.858046,13.423487,6.480000,325,ENTRY,0.100000,0.050000,2000,2.000000
B244,2.658329,21.336013,6.620000,332,ENTRY,0.100000,0.050000,2000,2.000000
B245,2.467990,19.425471,6.620000,332,ENTRY,0.100000,0.050000,2000,2.000000
B246,2.253859,17.276111,6.600000,331,ENTRY,0.100000,0.050000,2000,2.000000
B247,1.762151,12.340544,6.480000,325,ENTRY,0.100000,0.050000,2000,2.000000
B248,2.674796,21.206476,6.660000,334,ENTRY,0.100000,0.050000,2000,2.000000
B249,2.553176,20.012655,6.660000,334,ENTRY,0.100000,0.050000,2000,2.000000
B250,2.350476,18.022953,6.640000,333,ENTRY,0.100000,0.050000,2000,2.000000
B251,2.050480,15.078195,6.600000,331,ENTRY,0.100000,0.050000,2000,2.000000
B252,1.750483,12.133436,6.520000,327,ENTRY,0.100000,0.050000,2000,2.000000
B253,2.566410,19.883278,6.700000,336,ENTRY,0.100000,0.050000,2000,2.000000
B254,2.359237,17.894037,6.680000,335,ENTRY,0.100000,0.050000,2000,2.000000
B255,2.152063,15.904796,6.660000,334,ENTRY,0.100000,0.050000,2000,2.000000
B256,1.853733,13.040290,6.580000,330,ENTRY,0.100000,0.050000,2000,2.000000
B257,2.756875,21.424359,6.740000,338,ENTRY,0.100000,0.050000,2000,2.000000
B258,2.562120,19.594695,6.740000,338,ENTRY,0.100000,0.050000,2000,2.000000
B259,2.350430,17.605929,6.720000,337,ENTRY,0.100000,0.050000,2000,2.000000
B260,1.960921,13.946601,6.660000,334,ENTRY,0.100000,0.050000,2000,2.000000
B261,2.772743,21.294363,6.780000,340,ENTRY,0.100000,0.050000,2000,2.000000
B262,2.651644,20.180929,6.780000,340,ENTRY,0.100000,0.050000,2000,2.000000
B263,2.357547,17.476875,6.760000,339,ENTRY,0.100000,0.050000,2000,2.000000
B264,2.054800,14.693290,6.720000,337,ENTRY,0.100000,0.050000,2000,2.000000
B265,2.885200,22.038873,6.880000,345,ENTRY,0.100000,0.050000,2000,2.000000
B266,2.752691,20.846212,6.820000,342,ENTRY,0.100000,0.050000,2000,2.000000
B267,2.470006,18.301867,6.800000,341,ENTRY,0.100000,0.050000,2000,2.000000
B268,2.257992,16.393609,6.780000,340,ENTRY,0.100000,0.050000,2000,2.000000
B269,1.851633,12.736114,6.680000,335,ENTRY,0.100000,0.050000,2000,2.000000
B270,2.856828,21.510978,6.860000,344,ENTRY,0.100000,0.050000,2000,2.000000
B271,2.577222,19.046790,6.840000,343,ENTRY,0.100000,0.050000,2000,2.000000
B272,2.369772,17.218522,6.840000,343,ENTRY,0.100000,0.050000,2000,2.000000
B273,2.063106,14.515865,6.780000,340,ENTRY,0.100000,0.050000,2000,2.000000
B274,2.973297,22.254679,6.960000,349,ENTRY,0.100000,0.050000,2000,2.000000
B275,2.853607,21.221590,6.900000,346,ENTRY,0.100000,0.050000,2000,2.000000
B276,2.669470,19.632221,6.900000,346,ENTRY,0.100000,0.050000,2000,2.000000
B277,2.356436,16.930294,6.860000,344,ENTRY,0.100000,0.050000,2000,2.000000
B278,1.951334,13.433682,6.800000,341,ENTRY,0.100000,0.050000,2000,2.000000
